Time;WBHP;WOPR;WWPR;WGPR
5;323;1314;0.0;0.240
6;335;1321;0.0;0.260
7;343;1309;0.0;0.247
8;348;1299;0.0;0.233
9;349;1287;0.0;0.240
10;348;1286;0.0;0.224
27;345;1338;0.0;0.213
28;345;1336;0.0;0.217
29;345;1325;0.0;0.214
30;343;1318;0.0;0.207
31;345;1326;0.0;0.203
32;351;1319;0.0;0.204
33;351;1311;0.0;0.206
34;343;1307;0.0;0.206
35;347;1280;0.0;0.200
36;344;1275;0.0;0.200
37;341;1300;0.0;0.202
38;342;1286;0.0;0.207
39;328;1298;0.0;0.214
40;340;1275;0.0;0.208
41;345;1260;0.0;0.203
42;341;1261;0.0;0.209
43;339;1258;0.0;0.203
44;340;1262;0.0;0.202
45;339;1255;0.0;0.201
46;338;1251;0.0;0.202
47;338;1253;0.0;0.200
48;339;1237;0.0;0.190
49;337;1241;0.0;0.198
50;339;1238;0.0;0.195
51;337;1235;0.0;0.199
52;335;1242;0.0;0.193
53;335;1239;0.0;0.200
54;335;1235;0.0;0.194
55;338;1234;0.0;0.203
56;338;1229;0.0;0.199
57;337;1233;0.0;0.203
58;339;1228;0.0;0.193
59;335;1224;0.0;0.201
60;337;1220;0.0;0.188
61;335;1222;0.0;0.200
62;336;1219;0.0;0.194
63;335;1215;0.0;0.196
64;336;1217;0.0;0.192
65;336;1220;0.0;0.188
66;333;1211;0.0;0.204
67;335;1208;0.0;0.198
68;335;1205;0.0;0.195
69;333;1218;0.0;0.198
70;335;1187;0.0;0.195
71;334;1190;0.0;0.202
72;333;1191;0.0;0.199
73;332;1189;0.0;0.192
74;332;1187;0.0;0.190
75;334;1188;0.0;0.194
76;333;1182;0.0;0.186
77;333;1180;0.0;0.190
78;331;1181;0.0;0.193
79;332;1177;0.0;0.191
80;333;1171;0.0;0.190
81;332;1170;0.0;0.193
82;332;1168;0.0;0.183
83;331;1186;0.0;0.191
84;328;1185;0.0;0.190
85;325;1161;0.0;0.187
86;328;1185;0.0;0.191
87;325;1199;0.0;0.186
88;323;1177;0.0;0.186
89;323;1162;0.0;0.184
90;321;1182;0.0;0.233
91;325;1162;0.0;0.241
92;319;1150;0.0;0.241
93;315;1165;0.0;0.247
94;314;1158;0.0;0.249
95;314;1151;0.0;0.254
96;310;1159;0.0;0.264
97;304;1183;0.0;0.324
98;312;1161;0.0;0.308
99;310;1156;0.0;0.343
100;309;1160;0.0;0.347
101;307;1158;0.0;0.321
102;304;1162;0.0;0.379
103;303;1170;0.0;0.386
104;303;1164;0.0;0.345
105;301;1178;0.0;0.322
106;301;1163;0.0;0.322
107;300;1156;0.0;0.320
108;299;1172;0.0;0.338
109;301;1147;0.0;0.327
110;301;1153;0.0;0.323
111;299;1159;0.0;0.334
112;301;1147;0.0;0.320
113;299;1153;0.0;0.330
114;298;1139;0.0;0.318
115;297;1146;0.0;0.305
116;298;1140;0.0;0.316
117;283;1141;0.0;0.300
149;147;1073;0.0;0.349
150;155;1087;0.0;0.359
151;169;1069;0.0;0.332
152;153;1076;0.0;0.335
153;147;1093;0.0;0.33
156;167;1082;0.0;0.348
157;164.5;1071;0.0;0.342
159;31;1070;0.0;0.354
160;37.8;1065;0.0;0.356
161;40.16;1068;0.0;0.345
162;43;1067;0.0;0.35
163;40;1054;0.0;0.357
164;41;1061;0.0;0.347
165;37;1062;0.0;0.337
166;37;1073;0.0;0.349
168;278;1048;0.0;0.346
169;279;1049;0.0;0.342
170;275;1045;1.0;0.339
171;281;1039;2.1;0.314
172;278;1044;2.1;0.326
173;281;1030;2.1;0.323
174;279;1037;1.0;0.331
175;279;1025;2.1;0.35
176;281;1030;4.1;0.336
177;278;1032;3.1;0.362
178;282;1011;6.1;0.336
179;279;1016;5.1;0.314
180;276;1013;6.1;0.326
181;277;1007;3.4;0.322
182;276;1020;4.3;0.326
183;276;1007;5.4;0.334
184;272;1014;4.7;0.319
185;273;1012;4.3;0.315
186;272;1014;3.3;0.316
187;273;1003;6.5;0.322
188;272;1008;6.0;0.326
189;270;1001;7.8;0.333
190;271;1005;7.0;0.312
191;269;1002;8.0;0.327
192;270;1004;6.0;0.325
193;270;1003;5.0;0.325
194;270;1000;5.0;0.317
195;269;968;4.0;0.337
196;270;994;5.0;0.330
197;269;972;5.0;0.324
198;267;968;4.0;0.327
199;267;982;3.0;0.338
200;264;984;4.0;0.348
201;266;955;4.0;0.349
202;270;966;4.0;0.343
203;270;961;4.0;0.336
204;268;964;4.0;0.340
205;268;969;5.0;0.344
206;269;961;4.0;0.330
207;268;962;5.0;0.342
208;269;956;4.0;0.356
209;265;979;2.0;0.334
210;267;948;3.0;0.336
211;267;952;2.0;0.331
212;265;963;4.0;0.326
213;266;953;2.0;0.323
214;266;962;2.0;0.332
215;266;954;3.0;0.334
216;266;941;7.0;0.333
217;266;958;5.0;0.324
218;264;940;7.0;0.342
219;264;926;2.0;0.341
220;266;927;4.0;0.341
221;266;941;4.0;0.339
222;267;938;3.0;0.338
223;265;939;3.0;0.337
224;265;926;4.0;0.337
225;264;957;5.3;0.321
226;263;946;4.2;0.320
227;266;940;6.1;0.318
228;263;919;5.6;0.321
229;262;931;8.4;0.315
230;265;915;12.6;0.322
231;262;931;9.8;0.307
232;261;947;8.1;0.319
233;262;929;4.0;0.314
234;263;940;7.9;0.321
235;262;925;7.0;0.317
236;261;930;6.0;0.322
237;258;944;6.0;0.313
238;256;923;5.0;0.317
239;240;933;9.0;0.317
240;257;928;10.0;0.323
241;255;919;9.0;0.313
242;256;927;6.0;0.314
243;256;924;8.0;0.317
244;255;917;8.3;0.309
245;254;928;7.5;0.311
246;256;910;9.8;0.314
247;254;909;8.9;0.316
248;254;923;6.7;0.305
249;255;911;7.0;0.313
250;254;920;7.4;0.316
251;253;906;4.0;0.319
252;253;909;4.0;0.316
253;254;902;3.0;0.316
254;254;900;4.0;0.317
255;254;901;2.0;0.291
256;254;894;4.0;0.303
257;253;900;3.0;0.307
258;254;905;2.0;0.306
259;253;907;2.0;0.299
260;254;900;2.0;0.302
261;253;901;4.0;0.296
262;252;900;2.0;0.290
263;254;903;2.0;0.297
264;253;901;3.0;0.292
265;251;901;6.2;0.297
266;253;903;6.3;0.308
267;252;901;5.1;0.311
268;253;903;4.6;0.312
269;253;902;6.4;0.315
270;253;901;7.7;0.313
271;253;900;8.3;0.309
272;258;901;5.0;0.307
273;258;899;6.9;0.312
274;251;902;7.0;0.311
275;251;901;7.0;0.307
276;252;904;7.1;0.308
277;251;902;6.0;0.310
278;251;901;6.5;0.309
279;251;903;6.7;0.316
280;249;902;6.9;0.319
281;249;901;6.5;0.317
282;250;902;7.3;0.312
283;250;900;6.2;0.307
284;251;902;7.8;0.311
285;250;900;6.3;0.314
286;250;899;5.4;0.309
287;250;901;3.7;0.308
288;250;897;5.2;0.299
289;251;895;3.0;0.297
290;249;897;4.7;0.314
291;252;900;5.0;0.311
292;251;900;3.0;0.309
293;251;898;5.9;0.318
294;254;894;6.1;0.322
295;253;896;4.8;0.330
296;253;894;5.7;0.321
297;251;897;6.7;0.312
298;254;893;5.5;0.291
299;250;891;2.0;0.295
300;254;892;5.4;0.307
301;265;892;7.0;0.322
302;253;890;6.0;0.315
303;252;889;7.0;0.301
304;247;891;4.0;0.314
305;251;889;3.0;0.320
306;251;885;8.0;0.315
307;251;878;6.8;0.315
308;252;870;10.0;0.313
309;252;866;12.7;0.302
310;254;867;12.7;0.313
311;253;860;13.6;0.305
312;252;861;13.8;0.309
313;253;858;13.4;0.312
314;252;859;12.6;0.314
315;253;855;13.3;0.314
316;253;856;12.4;0.309
317;252;850;12.8;0.318
318;253;852;12.5;0.311
319;252;848;13.1;0.321
320;252;849;12.8;0.305
321;252;846;12.4;0.297
322;253;842;10.5;0.304
323;251;840;11.7;0.3
324;252;838;11.8;0.308
325;252;837;9.9;0.305
326;252;835;9.9;0.307
327;253;835;8.0;0.308
328;255;831;12.8;0.310
329;254;829;12.3;0.308
330;255;824;11.9;0.311
331;255;820;11.3;0.314
332;257;819;11.1;0.317
333;256;815;11.1;0.316
334;256;812;10.7;0.310
335;259;808;10.7;0.316
336;260;806;9.9;0.313
337;261;806;12.2;0.317
338;260;804;10.0;0.316
339;262;802;10.0;0.318
340;261;802;9.2;0.323
341;261;801;10.8;0.317
342;260;802;10.8;0.321
343;263;798;11.6;0.319
344;264;800;11.2;0.320
345;262.5;801;11.9;0.322
346;264;800;11.1;0.316
347;263;798;12.4;0.323
348;263;797;13.3;0.328
349;264;797;11.6;0.323
350;260;795;12.9;0.323
351;260;780;23.6;0.324
352;260;760;29.5;0.327
353;264;754;33.8;0.315
354;265;752;30.7;0.323
355;265;752;22.7;0.330
356;266;747;20.9;0.324
357;266;746;18.8;0.331
358;266;745;17.3;0.330
359;266;744;19.4;0.329
360;266;747;16.2;0.327
361;267;748;15.6;0.326
362;266;746;16.3;0.324
363;266;742;17.3;0.332
364;269;742;11.7;0.334
365;271;743;13.7;0.336
366;270;744;14.0;0.337
367;270;742;14.6;0.338
368;268;745;13.6;0.334
369;264;746;12.8;0.357
370;262;747;11.9;0.352
371;264;746;11.7;0.347
372;267;745;12.2;0.340
373;265;745;13.1;0.341
374;266;743;12.8;0.342
375;264;741;11.0;0.341
376;268;743;12.3;0.340
377;265;745;11.0;0.360
378;265;745;10.0;0.374
379;269;742;11.9;0.331
380;270;741;11.2;0.331
381;264;738;9.9;0.330
382;264;740;8.9;0.330
383;264;740;9.4;0.331
384;267;738;9.3;0.327
385;266;738;9.1;0.331
386;268;739;12.8;0.318
387;265;736;9.6;0.313
388;264;730;28.1;0.311
389;261;731;6.1;0.3275
390;260.5;731;10.9;0.312
391;264;728;8.2;0.312
392;260.5;722;12.8;0.315
393;261.3;719;12.0;0.312
394;262;715;10.1;0.303
395;261;716;5.6;0.318
396;261;714;7.6;0.313
397;261;713;9.9;0.310
398;262;715;11.0;0.309
399;261;716;12.1;0.312
400;261;716;9.7;0.311
401;261;715;8.7;0.310
402;260;713;11.8;0.289
403;261;714;11.3;0.285
404;261;712;10.8;0.294
405;268;709;11.7;0.308
406;270;710;12.2;0.310
407;267;705;14.5;0.322
408;268;704;13.0;0.316
409;267;705;11.9;0.315
410;269;703;14.0;0.314
411;269;701;13.3;0.313
412;298;700;16.2;0.302
413;357;703;14.1;0.306
414;476;700;12.8;0.318
415;509;702;10.7;0.312
416;476;700;13.3;0.305
417;432;704;14.2;0.312
418;503;698;14.3;0.312
419;305;695;12.1;0.309
420;321;692;14.7;0.311
421;307;686;16.6;0.318
422;286;687;14.5;0.313
423;296;685;17.2;0.331
424;361;689;12.1;0.322
425;426;691;11.1;0.310
426;546;689;9.8;0.316
427;584;653;2.3;0.335
428;267;660;13.9;0.334
429;316;662;12.5;0.324
430;307;660;12.2;0.318
431;353;661;9.6;0.317
432;261;658;16.5;0.31
433;261;659;12.4;0.315
436;415;413;8.4;0.187
437;368;454;9.8;0.215
438;292;646;18.2;0.32
439;302;669;18.6;0.331
440;297;667;19.1;0.325
441;282;668;15.1;0.321
442;285;667;17.8;0.324
443;287;670;19.4;0.322
444;300;668;13.8;0.324
445;287;666;12.4;0.323
446;285;666;9.7;0.323
447;285;666;12.2;0.324
448;273;667;11.4;0.323
449;274;665;15;0.323
450;275;665;10.5;0.324
451;277;663;10.5;0.324
452;278;661;11;0.321
453;276;658;12;0.323
454;698;654;11.3;0.319
455;383;650;12.6;0.315
456;862;645;13.6;0.316
457;1150;642;14.5;0.326
458;962;636;11.4;0.318
459;714;640;10.9;0.319
460;345;640;15.1;0.319
461;366;641;13.8;0.314
462;285;634;12.2;0.327
463;289;636;16;0.332
464;285;630;12.8;0.34
465;703;631;13.4;0.337
466;851.5;629;12.7;0.337
467;429;631;14.3;0.325
468;339;625.2;15.1;0.332
469;457;624.2;12.3;0.334
470;289;627.3;15.3;0.329
471;429;623.7;15.5;0.328
472;277;628;12.6;0.324
473;307;629.7;13.5;0.328
474;282;627.9;14.3;0.337
475;283;630.8;13.9;0.33
476;280;627.9;12.8;0.339
477;280;622.4;11.1;0.334
478;279;624.1;11.7;0.334
479;279;622.8;11.9;0.33
480;280;617.2;11;0.34
481;281;617.9;10.9;0.333
482;282;626.4;11;0.329
483;284;627.2;10.6;0.331
484;284;626.9;11.7;0.319
485;285;624.8;11.7;0.313
486;280.5;623.7;10.9;0.32
487;280;621.6;10.8;0.321
488;280;621.7;10.4;0.323
489;281;620;12.1;0.321
490;281;622.1;13;0.3225
491;284;619.8;12.8;0.323
492;286;618.8;11.1;0.32
493;287;613.9;13.5;0.323
494;287;618.2;12;0.328
495;284.5;615.3;12.3;0.329
496;284.5;616.8;11.4;0.326
497;284;616.9;11.7;0.327
498;286;612.3;12;0.32
499;288;614.8;13.1;0.317
500;289;610;14.1;0.32
501;288;608.9;14.3;0.319
505;287;598.8;13;0.326
506;273;597.8;13.3;0.336
507;286;595.2;16.2;0.333
508;307;598.7;14.9;0.327
509;313;595.4;14.5;0.322
510;301;596.2;14.3;0.328
511;305;596.7;13.4;0.329
512;301;595.6;14.5;0.325
514;309;594.3;15;0.326
515;307;588.3;14.4;0.333
516;301;586.1;14.1;0.33
517;307;587.4;12.5;0.331
518;333;590.8;13.8;0.334
519;301;588.7;13.1;0.334
520;307;588;13.2;0.334
521;309;585.4;11;0.329
522;366;586.4;12.9;0.336
523;303;584;13;0.331
524;305;585.1;13.4;0.328
525;318;583;12.2;0.332
526;363;585;14.1;0.337
527;331;583.1;12;0.332
528;334;589.2;13.3;0.328
529;301;588;15.2;0.329
530;301;589.2;12.7;0.327
531;301;588.3;13.6;0.329
532;301;587.4;13.1;0.326
533;301;588.1;13;0.328
534;300;585.7;12.7;0.33
535;300;586.1;12.6;0.332
536;300;584;14.3;0.332
537;301;585.1;13.8;0.333
538;300;582.4;12.8;0.334
539;300;582;13.7;0.332
540;300;584;11.9;0.33
541;298;580;13.9;0.32
542;298;578.9;12.6;0.328
543;299;578.5;14.1;0.325
544;301;577.3;15.7;0.328
545;302;576.5;16.9;0.328
546;301;575.4;15.4;0.333
547;300;574.4;15;0.33
548;307;572;13.4;0.329
549;317;569.7;14.3;0.324
550;318;567;16.4;0.327
551;307;564.1;15.9;0.323
552;285;564.7;15.9;0.322
553;280;566.4;15.8;0.323
554;282;565.1;15.9;0.329
555;283;568.2;13.8;0.333
556;284;567;14.3;0.331
557;285;567.7;13.4;0.33
558;284;566.7;15.1;0.332
559;264;563.9;13.8;0.324
560;280;565;14.1;0.321
561;274;562.6;14.6;0.319
562;270;563.9;15.2;0.323
563;260;562.4;15.2;0.323
564;264;563.1;14.4;0.32
565;262;560.7;14.1;0.323
566;262;562.7;13.7;0.322
567;262;562.6;13.9;0.322
568;262;560.6;13.6;0.32
569;263;561.1;13.6;0.323
570;263;559.8;14.9;0.323
571;262;561;15.3;0.32
572;262;560;14.6;0.321
573;262;561.4;13.7;0.32
574;262;559.3;14.9;0.322
575;262;557.4;14.2;0.324
576;262;557.4;13.8;0.324
577;262;556.3;14.1;0.326
578;262;556.9;13.2;0.324
579;261;555.2;14.3;0.326
580;263;557.3;13.7;0.331
581;262;556.1;14.7;0.327
582;261;554.9;14.6;0.326
583;260;552.6;14.7;0.327
584;260;549.8;14;0.33
585;260;550.9;14.3;0.326
586;259;549.2;14.9;0.329
587;258;548.3;15;0.326
588;257;547.4;14.5;0.324
589;257;546.2;14;0.322
590;263;545.1;13.2;0.321
591;256;543.1;13.8;0.318
592;255;541.2;13.4;0.317
593;254;538.1;14;0.319
594;254;539.1;14.6;0.322
595;257;539.9;13.7;0.316
596;212;538;14.4;0.318
597;260;539.4;14;0.303
598;258;538.4;11;0.308
599;260;540;13.3;0.312
600;256;539.6;13.9;0.312
601;257;539.5;13.8;0.315
602;256;538.9;14.3;0.314
603;257;539.3;14.4;0.309
604;256;537.9;14.5;0.309
605;256;536.3;14.6;0.313
606;257;535.8;14.2;0.316
607;257;539.1;13.7;0.311
608;255;539.2;14.1;0.315
609;255;537.9;13.4;0.315
610;255;537;14;0.316
611;255;536.7;13.4;0.310
612;255;536.1;14;0.312
613;255;536.2;13.3;0.311
614;253;537;12.1;0.313
615;253;535.5;12.1;0.312
616;257;535.1;12.7;0.310
617;252;533.1;12.5;0.309
618;253;532.2;13.2;0.311
619;253;531.4;13.6;0.311
620;251;530.1;13.8;0.309
621;251;529;13.8;0.310
622;252;530.2;13.5;0.311
623;251;528.2;13;0.311
624;247;527.9;14.8;0.314
625;246;526.1;14;0.317
626;245;523.2;14.7;0.315
627;246;523.8;14.6;0.315
628;245;524.2;15;0.317
629;244;523;14.9;0.316
630;244;523.3;15;0.318
631;244;525.2;12.7;0.315
632;244;525.1;13;0.315
633;244;524.2;13.2;0.317
634;244;526.4;13.4;0.313
635;244;524.2;14.1;0.314
636;244;523.1;14.8;0.316
637;243;523.8;13.1;0.314
638;244;523.6;13.3;0.312
639;242;521;13;0.316
640;241;519.3;14.1;0.311
641;241;519.2;14.1;0.323
642;239;520.1;13.7;0.328
643;243;520.4;14;0.326
644;245;519.1;14.1;0.324
645;246;518.9;14.2;0.323
646;245;517.1;13.3;0.323
647;241;513.9;13.9;0.324
648;243;514.7;13;0.322
649;246;514.6;13.9;0.324
650;245;513.5;13.6;0.322
651;242;512.8;13.1;0.324
652;243;512;13.2;0.327
653;244;510.2;14;0.329
654;243;509.1;14;0.327
655;242;508.2;14.3;0.329
656;242;508.1;13.7;0.327
657;243;508.6;14.1;0.329
658;242;507.3;14.5;0.326
659;243;508.1;14.7;0.323
660;244;507.4;14.6;0.322
661;243;506;15;0.324
662;244;507.1;15.3;0.319
663;242;505.1;14.1;0.319
664;241;504;14.8;0.321
665;240;503.3;14;0.318
666;240;502.3;13.5;0.317
667;239;500.4;13;0.313
668;239;503;12.5;0.313
669;239;500.1;13.7;0.313
670;239;501.6;13;0.313
671;239;501.9;13.3;0.314
672;239;503.3;12.8;0.314
673;239;502.1;14.5;0.309
674;239;502.9;13.5;0.311
675;239;501.5;13.2;0.314
676;238;501;13.1;0.317
677;238;502.2;12.7;0.319
678;238;501.3;12.8;0.320
679;238;501.9;12.4;0.319
680;238;500.5;13.1;0.320
681;238;500.9;12.7;0.319
682;238;501.7;12.7;0.315
683;238;500.3;12.1;0.319
684;239;501.6;12.2;0.316
685;239;502.4;12.5;0.314
686;239;501.2;13.1;0.315
687;240;501.3;12.4;0.313
688;239;500.2;12.5;0.314
689;241;503.1;11.5;0.311
690;241;503.1;11.5;0.311
